"bdgt_id","dma1_name","dma2_name","chan1_name","client_id","chan1_id","dma2_id","dma1_id","sp_min_h","percent_max","sp_max_h"
"170_100_350","Low Stores Low Loyalty","EUGENE-OR","TV Bromo",11,170,100,350,NULL,NULL,NULL
"170_101_350","Low Stores Low Loyalty","EUREKA-CA","TV Bromo",11,170,101,350,NULL,NULL,NULL
"170_102_351","Low Stores Medium Loyalty","EVANSVILLE-IN","TV Bromo",11,170,102,351,NULL,NULL,NULL
"170_103_352","Medium Stores High Loyalty","FARGO-ND","TV Bromo",11,170,103,352,NULL,NULL,NULL
"170_104_353","Medium Stores Low Loyalty","FAYETTEVL/FT.SM-AR","TV Bromo",11,170,104,353,NULL,NULL,NULL
"170_105_265","Other","FLAGSTAFF-AZ","TV Bromo",11,170,105,265,NULL,NULL,NULL
"170_106_351","Low Stores Medium Loyalty","FLNT/SGNW-BYCT-MI","TV Bromo",11,170,106,351,NULL,NULL,NULL
"170_107_353","Medium Stores Low Loyalty","FLORNCE/MRTL BE-SC","TV Bromo",11,170,107,353,NULL,NULL,NULL
"170_108_351","Low Stores Medium Loyalty","FORT MYRS/NAPLS-FL","TV Bromo",11,170,108,351,NULL,NULL,NULL
"170_109_352","Medium Stores High Loyalty","FORT WAYNE-IN","TV Bromo",11,170,109,352,NULL,NULL,NULL
"170_110_353","Medium Stores Low Loyalty","FRESNO/VISALIA-CA","TV Bromo",11,170,110,353,NULL,NULL,NULL
"170_111_350","Low Stores Low Loyalty","GAINESVILLE-FL","TV Bromo",11,170,111,350,NULL,NULL,NULL
"170_112_352","Medium Stores High Loyalty","GRD JCT/MNTS-CO","TV Bromo",11,170,112,352,NULL,NULL,NULL
"170_113_352","Medium Stores High Loyalty","GRD RPD KMZ-MI","TV Bromo",11,170,113,352,NULL,NULL,NULL
"170_114_352","Medium Stores High Loyalty","GREENBAY/APLTN-WI","TV Bromo",11,170,114,352,NULL,NULL,NULL
"170_115_351","Low Stores Medium Loyalty","GREENSBORO-NC","TV Bromo",11,170,115,351,NULL,NULL,NULL
"170_116_350","Low Stores Low Loyalty","GREENVILLE-NC","TV Bromo",11,170,116,350,NULL,NULL,NULL
"170_117_351","Low Stores Medium Loyalty","GREENVILLE-SC","TV Bromo",11,170,117,351,NULL,NULL,NULL
"170_118_352","Medium Stores High Loyalty","HBG/LANCAST-PA","TV Bromo",11,170,118,352,NULL,NULL,NULL
"170_119_351","Low Stores Medium Loyalty","HARRISONBURG-VA","TV Bromo",11,170,119,351,NULL,NULL,NULL
"170_120_350","Low Stores Low Loyalty","HATTSBURG/LAURL-MS","TV Bromo",11,170,120,350,NULL,NULL,NULL
"170_121_353","Medium Stores Low Loyalty","HOUSTON-TX","TV Bromo",11,170,121,353,NULL,NULL,NULL
"170_122_351","Low Stores Medium Loyalty","HUNTSVILLE-AL","TV Bromo",11,170,122,351,NULL,NULL,NULL
"170_123_353","Medium Stores Low Loyalty","IDHO FLS/POCTLO-ID","TV Bromo",11,170,123,353,NULL,NULL,NULL
"170_124_352","Medium Stores High Loyalty","INDIANAPOLIS-IN","TV Bromo",11,170,124,352,NULL,NULL,NULL
"170_125_350","Low Stores Low Loyalty","JACKSON-MS","TV Bromo",11,170,125,350,NULL,NULL,NULL
"170_126_350","Low Stores Low Loyalty","JACKSON-TN","TV Bromo",11,170,126,350,NULL,NULL,NULL
"170_127_352","Medium Stores High Loyalty","JACKSONVILLE-FL","TV Bromo",11,170,127,352,NULL,NULL,NULL
"170_128_351","Low Stores Medium Loyalty","JOHNSTOWN/ALTNA-PA","TV Bromo",11,170,128,351,NULL,NULL,NULL
"170_129_350","Low Stores Low Loyalty","JONESBORO-AR","TV Bromo",11,170,129,350,NULL,NULL,NULL
"170_130_352","Medium Stores High Loyalty","JOPLIN/PTSBURG-MO","TV Bromo",11,170,130,352,NULL,NULL,NULL
"170_131_353","Medium Stores Low Loyalty","KANSAS CT-KS / MO","TV Bromo",11,170,131,353,NULL,NULL,NULL
"170_132_351","Low Stores Medium Loyalty","KNOXVILLE-TN","TV Bromo",11,170,132,351,NULL,NULL,NULL
"170_133_352","Medium Stores High Loyalty","LA CRSE/EAU CL-WI","TV Bromo",11,170,133,352,NULL,NULL,NULL
"170_134_352","Medium Stores High Loyalty","LAFAYETTE-IN","TV Bromo",11,170,134,352,NULL,NULL,NULL
"170_135_350","Low Stores Low Loyalty","LAFAYETTE-LA","TV Bromo",11,170,135,350,NULL,NULL,NULL
"170_136_350","Low Stores Low Loyalty","LAKE CHARLES-LA","TV Bromo",11,170,136,350,NULL,NULL,NULL
"170_137_352","Medium Stores High Loyalty","LANSING/JACKSON-MI","TV Bromo",11,170,137,352,NULL,NULL,NULL
"170_138_353","Medium Stores Low Loyalty","LAREDO-TX","TV Bromo",11,170,138,353,NULL,NULL,NULL
"170_139_353","Medium Stores Low Loyalty","LAS VEGAS-NV","TV Bromo",11,170,139,353,NULL,NULL,NULL
"170_140_353","Medium Stores Low Loyalty","LEXINGTON-KY","TV Bromo",11,170,140,353,NULL,NULL,NULL
"170_141_351","Low Stores Medium Loyalty","LIMA-OH","TV Bromo",11,170,141,351,NULL,NULL,NULL
"170_142_352","Medium Stores High Loyalty","LINCOLN-NE","TV Bromo",11,170,142,352,NULL,NULL,NULL
"170_143_350","Low Stores Low Loyalty","LITTLE ROCK-AR","TV Bromo",11,170,143,350,NULL,NULL,NULL
"170_144_354","High Stores High Loyalty","LOS ANGELES-CA","TV Bromo",11,170,144,354,NULL,NULL,NULL
"170_145_352","Medium Stores High Loyalty","LOUISVILLE-KY","TV Bromo",11,170,145,352,NULL,NULL,NULL
"170_146_352","Medium Stores High Loyalty","LUBBOCK-TX","TV Bromo",11,170,146,352,NULL,NULL,NULL
"170_147_350","Low Stores Low Loyalty","MACON-GA","TV Bromo",11,170,147,350,NULL,NULL,NULL
"170_148_352","Medium Stores High Loyalty","MADISON-WI","TV Bromo",11,170,148,352,NULL,NULL,NULL
"170_149_352","Medium Stores High Loyalty","MANKATO-MN","TV Bromo",11,170,149,352,NULL,NULL,NULL
"170_150_351","Low Stores Medium Loyalty","MARQUETTE-MI","TV Bromo",11,170,150,351,NULL,NULL,NULL
"170_151_353","Medium Stores Low Loyalty","MCALLEN-TX","TV Bromo",11,170,151,353,NULL,NULL,NULL
"170_152_351","Low Stores Medium Loyalty","MDFRD/KLMATH FA-OR","TV Bromo",11,170,152,351,NULL,NULL,NULL
"170_153_350","Low Stores Low Loyalty","MEMPHIS-TN","TV Bromo",11,170,153,350,NULL,NULL,NULL
"170_154_353","Medium Stores Low Loyalty","MIAMI/FT. LDRDA-FL","TV Bromo",11,170,154,353,NULL,NULL,NULL
"170_155_353","Medium Stores Low Loyalty","MIDLAND-TX","TV Bromo",11,170,155,353,NULL,NULL,NULL
"170_156_352","Medium Stores High Loyalty","MILWAUKEE-WI","TV Bromo",11,170,156,352,NULL,NULL,NULL
"170_157_352","Medium Stores High Loyalty","MINNEAPOLIS-MN","TV Bromo",11,170,157,352,NULL,NULL,NULL
"170_158_352","Medium Stores High Loyalty","MINOT/BISMARCK-ND","TV Bromo",11,170,158,352,NULL,NULL,NULL
"170_159_350","Low Stores Low Loyalty","MBLE/PNSCOLA-AL/FL","TV Bromo",11,170,159,350,NULL,NULL,NULL
"170_160_350","Low Stores Low Loyalty","MONROE/EL DORDO-LA","TV Bromo",11,170,160,350,NULL,NULL,NULL
"170_161_350","Low Stores Low Loyalty","MONTEREY/SALINA-CA","TV Bromo",11,170,161,350,NULL,NULL,NULL
"170_162_350","Low Stores Low Loyalty","MONTGOMERY-AL","TV Bromo",11,170,162,350,NULL,NULL,NULL
"170_163_353","Medium Stores Low Loyalty","NASHVILLE-TN","TV Bromo",11,170,163,353,NULL,NULL,NULL
"170_164_352","Medium Stores High Loyalty","NEW HAVEN/HARTD-CT","TV Bromo",11,170,164,352,NULL,NULL,NULL
"170_165_350","Low Stores Low Loyalty","NEW ORLEANS-LA","TV Bromo",11,170,165,350,NULL,NULL,NULL
"170_166_352","Medium Stores High Loyalty","NORFOLK-VA","TV Bromo",11,170,166,352,NULL,NULL,NULL
"170_167_353","Medium Stores Low Loyalty","OKLAHOMA CITY-OK","TV Bromo",11,170,167,353,NULL,NULL,NULL
"170_168_353","Medium Stores Low Loyalty","OMAHA-NE","TV Bromo",11,170,168,353,NULL,NULL,NULL
"170_169_353","Medium Stores Low Loyalty","ORLNDO/DYTNA/MB-FL","TV Bromo",11,170,169,353,NULL,NULL,NULL
"170_170_351","Low Stores Medium Loyalty","PADUCAH-KY","TV Bromo",11,170,170,351,NULL,NULL,NULL
"170_171_353","Medium Stores Low Loyalty","PALM SPRINGS-CA","TV Bromo",11,170,171,353,NULL,NULL,NULL
