"chan1_id","dma2_id","dma1_id","chan1_name","dma2_name","dma1_name","bdgt_id","cps"
208,39,174,"Midweek","Medium Stores Low Loyalty","ATLANTA-GA","208_39_174",""
208,36,191,"Midweek","Medium Stores High Loyalty","BALTIMORE-MD","208_36_191",""
208,36,245,"Midweek","Medium Stores High Loyalty","BOSTON-MA","208_36_245",""
208,36,288,"Midweek","Medium Stores High Loyalty","BUFFALO-NY","208_36_288",""
208,39,222,"Midweek","Medium Stores Low Loyalty","CHARLOTTE-NC","208_39_222",""
208,37,149,"Midweek","High Stores High Loyalty","CHICAGO-IL","208_37_149",""
208,36,184,"Midweek","Medium Stores High Loyalty","CLEVELAND-OH","208_36_184",""
208,36,161,"Midweek","Medium Stores High Loyalty","COLUMBUS-OH","208_36_161",""
208,39,152,"Midweek","Medium Stores Low Loyalty","DALLAS-TX","208_39_152",""
208,36,232,"Midweek","Medium Stores High Loyalty","DENVER-CO","208_36_232",""
208,36,147,"Midweek","Medium Stores High Loyalty","DETROIT-MI","208_36_147",""
208,36,343,"Midweek","Medium Stores High Loyalty","GRD RPD KMZ-MI","208_36_343",""
208,36,199,"Midweek","Medium Stores High Loyalty","HBG/LANCAST-PA","208_36_199",""
208,39,243,"Midweek","Medium Stores Low Loyalty","HOUSTON-TX","208_39_243",""
208,36,160,"Midweek","Medium Stores High Loyalty","INDIANAPOLIS-IN","208_36_160",""
208,37,205,"Midweek","High Stores High Loyalty","LOS ANGELES-CA","208_37_205",""
208,39,333,"Midweek","Medium Stores Low Loyalty","MIAMI/FT. LDRDA-FL","208_39_333",""
208,36,156,"Midweek","Medium Stores High Loyalty","MILWAUKEE-WI","208_36_156",""
208,36,158,"Midweek","Medium Stores High Loyalty","MINNEAPOLIS-MN","208_36_158",""
208,36,186,"Midweek","Medium Stores High Loyalty","NEW HAVEN/HARTD-CT","208_36_186",""
208,39,285,"Midweek","Medium Stores Low Loyalty","ORLNDO/DYTNA/MB-FL","208_39_285",""
208,36,180,"Midweek","Medium Stores High Loyalty","PHILADELPHIA-PA","208_36_180",""
208,39,252,"Midweek","Medium Stores Low Loyalty","PHOENIX-AZ","208_39_252",""
208,36,228,"Midweek","Medium Stores High Loyalty","PITTSBURGH-PA","208_36_228",""
208,39,257,"Midweek","Medium Stores Low Loyalty","SACRAMENTO-CA","208_39_257",""
208,39,203,"Midweek","Medium Stores Low Loyalty","SALT LAKE CITY-UT","208_39_203",""
208,39,259,"Midweek","Medium Stores Low Loyalty","SAN DIEGO-CA","208_39_259",""
208,39,271,"Midweek","Medium Stores Low Loyalty","SAN FRANCISCO-CA","208_39_271",""
208,36,171,"Midweek","Medium Stores High Loyalty","ST. LOUIS-MO","208_36_171",""
208,39,286,"Midweek","Medium Stores Low Loyalty","TMPA/ST.PT/LKLD-FL","208_39_286",""
208,37,234,"Midweek","High Stores High Loyalty","TRI-STATE-NY/NJ/CT","208_37_234",""
208,36,226,"Midweek","Medium Stores High Loyalty","WASHINGTON D.C.","208_36_226",""
209,38,263,"Sunday","Low Stores Medium Loyalty","ALBANY-NY","209_38_263",""
209,36,307,"Sunday","Medium Stores High Loyalty","ALBQ/SANTA FE-NM","209_36_307",""
209,39,174,"Sunday","Medium Stores Low Loyalty","ATLANTA-GA","209_39_174",""
209,39,201,"Sunday","Medium Stores Low Loyalty","AUSTIN-TX","209_39_201",""
209,36,191,"Sunday","Medium Stores High Loyalty","BALTIMORE-MD","209_36_191",""
209,40,255,"Sunday","Low Stores Low Loyalty","BIRMINGHAM-AL","209_40_255",""
209,39,316,"Sunday","Medium Stores Low Loyalty","BOISE-ID","209_39_316",""
209,36,245,"Sunday","Medium Stores High Loyalty","BOSTON-MA","209_36_245",""
209,36,288,"Sunday","Medium Stores High Loyalty","BUFFALO-NY","209_36_288",""
209,36,212,"Sunday","Medium Stores High Loyalty","CEDAR RAPIDS-IA","209_36_212",""
209,40,273,"Sunday","Low Stores Low Loyalty","CHARLESTON-SC","209_40_273",""
209,39,222,"Sunday","Medium Stores Low Loyalty","CHARLOTTE-NC","209_39_222",""
209,40,236,"Sunday","Low Stores Low Loyalty","CHATTANOOGA-TN","209_40_236",""
209,37,149,"Sunday","High Stores High Loyalty","CHICAGO-IL","209_37_149",""
209,36,163,"Sunday","Medium Stores High Loyalty","CHMPGN/SPRINFD-IL","209_36_163",""
209,36,211,"Sunday","Medium Stores High Loyalty","CINCINNATI-OH","209_36_211",""
209,36,184,"Sunday","Medium Stores High Loyalty","CLEVELAND-OH","209_36_184",""
209,36,239,"Sunday","Medium Stores High Loyalty","COLORADO SPRNGS-CO","209_36_239",""
209,36,248,"Sunday","Medium Stores High Loyalty","COLUMBIA-SC","209_36_248",""
209,36,161,"Sunday","Medium Stores High Loyalty","COLUMBUS-OH","209_36_161",""
209,39,152,"Sunday","Medium Stores Low Loyalty","DALLAS-TX","209_39_152",""
209,38,208,"Sunday","Low Stores Medium Loyalty","DAVENPORT-IA","209_38_208",""
209,36,210,"Sunday","Medium Stores High Loyalty","DAYTON-OH","209_36_210",""
209,36,232,"Sunday","Medium Stores High Loyalty","DENVER-CO","209_36_232",""
209,39,164,"Sunday","Medium Stores Low Loyalty","DES MOINES-IA","209_39_164",""
209,36,147,"Sunday","Medium Stores High Loyalty","DETROIT-MI","209_36_147",""
209,39,242,"Sunday","Medium Stores Low Loyalty","EL PASO-TX","209_39_242",""
209,40,298,"Sunday","Low Stores Low Loyalty","EUGENE-OR","209_40_298",""
209,38,189,"Sunday","Low Stores Medium Loyalty","EVANSVILLE-IN","209_38_189",""
209,36,209,"Sunday","Medium Stores High Loyalty","FARGO-ND","209_36_209",""
209,39,238,"Sunday","Medium Stores Low Loyalty","FAYETTEVL/FT.SM-AR","209_39_238",""
209,38,179,"Sunday","Low Stores Medium Loyalty","FLNT/SGNW-BYCT-MI","209_38_179",""
209,38,299,"Sunday","Low Stores Medium Loyalty","FORT MYRS/NAPLS-FL","209_38_299",""
209,36,166,"Sunday","Medium Stores High Loyalty","FORT WAYNE-IN","209_36_166",""
209,39,265,"Sunday","Medium Stores Low Loyalty","FRESNO/VISALIA-CA","209_39_265",""
209,36,343,"Sunday","Medium Stores High Loyalty","GRD RPD KMZ-MI","209_36_343",""
209,36,162,"Sunday","Medium Stores High Loyalty","GREENBAY/APLTN-WI","209_36_162",""
209,38,227,"Sunday","Low Stores Medium Loyalty","GREENSBORO-NC","209_38_227",""
209,38,241,"Sunday","Low Stores Medium Loyalty","GREENVILLE-SC","209_38_241",""
209,36,199,"Sunday","Medium Stores High Loyalty","HBG/LANCAST-PA","209_36_199",""
209,39,243,"Sunday","Medium Stores Low Loyalty","HOUSTON-TX","209_39_243",""
209,38,247,"Sunday","Low Stores Medium Loyalty","HUNTSVILLE-AL","209_38_247",""
209,36,160,"Sunday","Medium Stores High Loyalty","INDIANAPOLIS-IN","209_36_160",""
209,36,280,"Sunday","Medium Stores High Loyalty","JACKSONVILLE-FL","209_36_280",""
209,39,216,"Sunday","Medium Stores Low Loyalty","KANSAS CT-KS / MO","209_39_216",""
209,38,230,"Sunday","Low Stores Medium Loyalty","KNOXVILLE-TN","209_38_230",""
209,36,157,"Sunday","Medium Stores High Loyalty","LA CRSE/EAU CL-WI","209_36_157",""
209,36,219,"Sunday","Medium Stores High Loyalty","LANSING/JACKSON-MI","209_36_219",""
209,39,258,"Sunday","Medium Stores Low Loyalty","LAS VEGAS-NV","209_39_258",""
209,39,190,"Sunday","Medium Stores Low Loyalty","LEXINGTON-KY","209_39_190",""
209,36,197,"Sunday","Medium Stores High Loyalty","LINCOLN-NE","209_36_197",""
209,40,264,"Sunday","Low Stores Low Loyalty","LITTLE ROCK-AR","209_40_264",""
209,37,205,"Sunday","High Stores High Loyalty","LOS ANGELES-CA","209_37_205",""
209,36,223,"Sunday","Medium Stores High Loyalty","LOUISVILLE-KY","209_36_223",""
209,36,172,"Sunday","Medium Stores High Loyalty","MADISON-WI","209_36_172",""
209,40,301,"Sunday","Low Stores Low Loyalty","MBLE/PNSCOLA-AL/FL","209_40_301",""
209,39,283,"Sunday","Medium Stores Low Loyalty","MCALLEN-TX","209_39_283",""
209,40,268,"Sunday","Low Stores Low Loyalty","MEMPHIS-TN","209_40_268",""
209,39,333,"Sunday","Medium Stores Low Loyalty","MIAMI/FT. LDRDA-FL","209_39_333",""
209,36,156,"Sunday","Medium Stores High Loyalty","MILWAUKEE-WI","209_36_156",""
209,36,158,"Sunday","Medium Stores High Loyalty","MINNEAPOLIS-MN","209_36_158",""
209,40,185,"Sunday","Low Stores Low Loyalty","MONTEREY/SALINA-CA","209_40_185",""
209,39,244,"Sunday","Medium Stores Low Loyalty","NASHVILLE-TN","209_39_244",""
209,36,186,"Sunday","Medium Stores High Loyalty","NEW HAVEN/HARTD-CT","209_36_186",""
209,36,183,"Sunday","Medium Stores High Loyalty","NORFOLK-VA","209_36_183",""
209,39,167,"Sunday","Medium Stores Low Loyalty","OKLAHOMA CITY-OK","209_39_167",""
209,39,169,"Sunday","Medium Stores Low Loyalty","OMAHA-NE","209_39_169",""
209,39,285,"Sunday","Medium Stores Low Loyalty","ORLNDO/DYTNA/MB-FL","209_39_285",""
209,38,181,"Sunday","Low Stores Medium Loyalty","PADUCAH-KY","209_38_181",""
209,36,159,"Sunday","Medium Stores High Loyalty","PEORIA/BLMNGTN-IL","209_36_159",""
