"sales1_name","chan1_name","dma1_name","dma2_name"
"Total Sales","Display","High Stores High Loyalty","CHICAGO-IL"
"Total Sales","Display","High Stores High Loyalty","LOS ANGELES-CA"
"Total Sales","Display","High Stores High Loyalty","TRI-STATE-NY/NJ/CT"
"Total Sales","Display","Low Stores Low Loyalty","ABILENE-TX"
"Total Sales","Display","Low Stores Low Loyalty","ALBANY-GA"
"Total Sales","Display","Low Stores Low Loyalty","BATON ROUGE-LA"
"Total Sales","Display","Low Stores Low Loyalty","BEAUMT/PORT ART-TX"
"Total Sales","Display","Low Stores Low Loyalty","BEND-OR"
"Total Sales","Display","Low Stores Low Loyalty","BILOXI/GULFPORT-MS"
"Total Sales","Display","Low Stores Low Loyalty","BIRMINGHAM-AL"
"Total Sales","Display","Low Stores Low Loyalty","BUTTE/BOZEMAN-MT"
"Total Sales","Display","Low Stores Low Loyalty","CASPER/RIVERTON-WY"
"Total Sales","Display","Low Stores Low Loyalty","CHARLESTON-SC"
"Total Sales","Display","Low Stores Low Loyalty","CHARLOTTESVILLE"
"Total Sales","Display","Low Stores Low Loyalty","CHATTANOOGA-TN"
"Total Sales","Display","Low Stores Low Loyalty","CHEYENNE- WY"
"Total Sales","Display","Low Stores Low Loyalty","COLMBS/TPLO/WPT-MS"
"Total Sales","Display","Low Stores Low Loyalty","COLUMBUS-GA"
"Total Sales","Display","Low Stores Low Loyalty","DOTHAN-AL"
"Total Sales","Display","Low Stores Low Loyalty","EUGENE-OR"
"Total Sales","Display","Low Stores Low Loyalty","EUREKA-CA"
"Total Sales","Display","Low Stores Low Loyalty","GAINESVILLE-FL"
"Total Sales","Display","Low Stores Low Loyalty","GREENVILLE-NC"
"Total Sales","Display","Low Stores Low Loyalty","HATTSBURG/LAURL-MS"
"Total Sales","Display","Low Stores Low Loyalty","JACKSON-MS"
"Total Sales","Display","Low Stores Low Loyalty","JACKSON-TN"
"Total Sales","Display","Low Stores Low Loyalty","JONESBORO-AR"
"Total Sales","Display","Low Stores Low Loyalty","LAFAYETTE-LA"
"Total Sales","Display","Low Stores Low Loyalty","LAKE CHARLES-LA"
"Total Sales","Display","Low Stores Low Loyalty","LITTLE ROCK-AR"
"Total Sales","Display","Low Stores Low Loyalty","MACON-GA"
"Total Sales","Display","Low Stores Low Loyalty","MBLE/PNSCOLA-AL/FL"
"Total Sales","Display","Low Stores Low Loyalty","MEMPHIS-TN"
"Total Sales","Display","Low Stores Low Loyalty","MONROE/EL DORDO-LA"
"Total Sales","Display","Low Stores Low Loyalty","MONTEREY/SALINA-CA"
"Total Sales","Display","Low Stores Low Loyalty","MONTGOMERY-AL"
"Total Sales","Display","Low Stores Low Loyalty","NEW ORLEANS-LA"
"Total Sales","Display","Low Stores Low Loyalty","SHERMAN/ADA-TX"
"Total Sales","Display","Low Stores Low Loyalty","SHREVEPORT-LA"
"Total Sales","Display","Low Stores Low Loyalty","SPOKANE-WA"
"Total Sales","Display","Low Stores Low Loyalty","ST. JOSEPH-MO"
